DMA,NFL,NBA,MLB,NHL,NASCAR,CBB,CFB,PctTrumpVote
Great Falls MT,0.50,0.19,0.11,0.05,0.05,0.03,0.06,0.59
Green Bay-Appleton WI,0.51,0.16,0.14,0.04,0.06,0.03,0.05,0.56
Greensboro-High Point-Winston Salem NC,0.38,0.23,0.09,0.03,0.10,0.09,0.07,0.54
Greenville-New Bern-Washington NC,0.40,0.21,0.11,0.04,0.09,0.07,0.09,0.56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0.34,0.20,0.11,0.03,0.09,0.06,0.17,0.61
Greenwood-Greenville MS,0.33,0.39,0.08,0.01,0.03,0.04,0.12,0.38
Harlingen-Weslaco-Brownsville-McAllen TX,0.50,0.33,0.10,0.01,0.02,0.01,0.04,0.29
Harrisburg-Lancaster-Lebanon-York PA,0.43,0.16,0.17,0.09,0.07,0.03,0.06,0.59
Harrisonburg VA,0.42,0.20,0.12,0.05,0.08,0.05,0.07,0.61
Hartford & New Haven CT,0.38,0.24,0.19,0.08,0.04,0.03,0.04,0.42
Hattiesburg-Laurel MS,0.40,0.24,0.08,0.01,0.05,0.03,0.20,0.65
Helena MT,0.52,0.15,0.11,0.06,0.04,0.04,0.08,0.51
Honolulu HI,0.43,0.29,0.11,0.04,0.01,0.03,0.08,0.30
Houston TX,0.42,0.32,0.12,0.02,0.02,0.02,0.08,0.50
Huntsville-Decatur (Florence) AL,0.27,0.22,0.09,0.03,0.07,0.05,0.27,0.68
Idaho Falls-Pocatello ID,0.44,0.24,0.10,0.05,0.04,0.03,0.09,0.58
Indianapolis IN,0.37,0.28,0.12,0.03,0.06,0.07,0.06,0.55
Jackson MS,0.38,0.31,0.08,0.01,0.04,0.04,0.15,0.49
Jackson TN,0.32,0.28,0.13,0.02,0.07,0.05,0.13,0.68
Jacksonville FL,0.42,0.23,0.09,0.04,0.05,0.03,0.13,0.59
Johnstown-Altoona PA,0.37,0.14,0.17,0.13,0.06,0.03,0.09,0.66
Jonesboro AR,0.31,0.28,0.15,0.02,0.07,0.05,0.14,0.69
Joplin MO-Pittsburg KS,0.41,0.18,0.18,0.02,0.07,0.06,0.08,0.73
Kansas City MO,0.36,0.18,0.25,0.03,0.04,0.08,0.06,0.50
Knoxville TN,0.32,0.19,0.11,0.04,0.10,0.07,0.17,0.71
La Crosse-Eau Claire WI,0.48,0.16,0.14,0.06,0.06,0.04,0.05,0.49
Lafayette IN,0.33,0.30,0.13,0.05,0.04,0.08,0.07,0.52
Lafayette LA,0.45,0.28,0.08,0.02,0.03,0.03,0.13,0.67
Lake Charles LA,0.43,0.27,0.09,0.02,0.04,0.02,0.12,0.68
Lansing MI,0.26,0.21,0.13,0.08,0.05,0.16,0.11,0.46
Laredo TX,0.44,0.39,0.10,0.02,0.01,0.01,0.03,0.23
Las Vegas NV,0.38,0.27,0.16,0.06,0.03,0.04,0.06,0.42
Lexington KY,0.22,0.20,0.08,0.02,0.06,0.35,0.07,0.64
Lima OH,0.36,0.22,0.13,0.03,0.08,0.05,0.14,0.72
Lincoln & Hastings-Kearney NE,0.33,0.19,0.13,0.03,0.06,0.05,0.20,0.63
Little Rock-Pine Bluff AR,0.32,0.28,0.16,0.02,0.04,0.04,0.13,0.58
Los Angeles CA,0.34,0.35,0.16,0.06,0.02,0.03,0.05,0.32
Louisville KY,0.26,0.21,0.09,0.02,0.06,0.27,0.09,0.55
Lubbock TX,0.42,0.25,0.12,0.02,0.03,0.03,0.12,0.70
Macon GA,0.34,0.29,0.10,0.02,0.07,0.04,0.14,0.54
Madison WI,0.43,0.18,0.14,0.05,0.07,0.05,0.08,0.33
Mankato MN,0.44,0.18,0.14,0.12,0.04,0.03,0.04,0.54
Marquette MI,0.41,0.13,0.15,0.16,0.05,0.04,0.05,0.55
Medford-Klamath Falls OR,0.42,0.23,0.15,0.03,0.05,0.03,0.10,0.55
Memphis TN,0.33,0.36,0.09,0.02,0.04,0.05,0.11,0.47
Meridian MS,0.28,0.29,0.14,0.02,0.05,0.05,0.17,0.59
Miami-Ft. Lauderdale FL,0.31,0.41,0.13,0.04,0.02,0.02,0.06,0.33
Milwaukee WI,0.42,0.25,0.16,0.05,0.04,0.04,0.05,0.46
Minneapolis-St. Paul MN,0.41,0.21,0.14,0.13,0.04,0.03,0.05,0.44
Minot-Bismarck-Dickinson(Williston) ND,0.50,0.17,0.11,0.08,0.06,0.03,0.05,0.71
Missoula MT,0.49,0.17,0.12,0.06,0.04,0.04,0.08,0.54
Mobile AL-Pensacola (Ft. Walton Beach) FL,0.34,0.21,0.10,0.03,0.06,0.04,0.22,0.64
Monroe LA-El Dorado AR,0.38,0.31,0.09,0.01,0.05,0.03,0.13,0.64
Monterey-Salinas CA,0.38,0.31,0.19,0.05,0.02,0.02,0.04,0.23
Montgomery (Selma) AL,0.24,0.28,0.08,0.01,0.05,0.06,0.27,0.50
Nashville TN,0.35,0.21,0.10,0.07,0.06,0.08,0.13,0.61
New Orleans LA,0.45,0.28,0.08,0.02,0.03,0.03,0.11,0.54
New York NY,0.32,0.32,0.19,0.09,0.02,0.03,0.03,0.35
Norfolk-Portsmouth-Newport News VA,0.47,0.23,0.11,0.04,0.05,0.04,0.06,0.44
North Platte NE,0.38,0.17,0.10,0.02,0.07,0.05,0.21,0.77
Odessa-Midland TX,0.48,0.24,0.12,0.02,0.04,0.02,0.09,0.70
Oklahoma City OK,0.32,0.33,0.09,0.03,0.04,0.03,0.15,0.63
Omaha NE,0.34,0.20,0.14,0.04,0.05,0.06,0.16,0.55
Orlando-Daytona Beach-Melbourne FL,0.35,0.28,0.14,0.05,0.05,0.03,0.10,0.49
Ottumwa IA-Kirksville MO,0.37,0.16,0.18,0.04,0.11,0.09,0.06,0.64
